Date,Price,Open,High,Low,Vol.,Change %
May 16 2008,6304.3,6251.8,6348.6,6251.8,,
May 15 2008,6251.8,6216.0,6258.5,6168.8,,
May 14 2008,6216.0,6211.9,6253.1,6167.9,,
May 13 2008,6211.9,6220.6,6268.1,6142.3,,
May 12 2008,6220.6,6204.7,6251.9,6184.8,,
May 09 2008,6204.7,6270.8,6270.8,6167.6,,
May 08 2008,6270.8,6256.5,6273.3,6217.0,,
May 07 2008,6261.0,6215.2,6275.0,6214.1,,
May 06 2008,6215.2,6215.5,6233.7,6155.9,,
May 02 2008,6215.5,6087.3,6223.9,6087.3,,
May 01 2008,6087.3,6087.3,6118.2,6066.0,,
Apr 30 2008,6087.3,6089.4,6120.3,6035.8,,
Apr 29 2008,6089.4,6090.4,6133.5,6051.6,,
Apr 28 2008,6090.4,6091.4,6134.5,6083.5,,
Apr 25 2008,6091.4,6050.7,6098.8,6045.5,,
Apr 24 2008,6050.7,6083.6,6083.6,5951.9,,
Apr 23 2008,6083.6,6034.7,6083.6,5978.8,,
Apr 22 2008,6034.7,6053.0,6072.0,6007.5,,
Apr 21 2008,6053.0,6056.5,6089.5,6021.2,,
Apr 18 2008,6056.5,5980.4,6062.1,5974.3,,
Apr 17 2008,5980.4,6046.2,6086.4,5973.9,,
Apr 16 2008,6046.2,5906.9,6046.2,5906.9,,
Apr 15 2008,5906.9,5831.6,5943.3,5831.6,,
Apr 14 2008,5831.6,5895.5,5895.5,5827.0,,
Apr 11 2008,5895.5,5965.1,6016.3,5866.1,,
Apr 10 2008,5965.1,5983.9,6003.2,5881.9,,
Apr 09 2008,5983.9,5990.2,6015.6,5947.2,,
Apr 08 2008,5990.2,6014.8,6014.8,5942.2,,
Apr 07 2008,6014.8,5947.1,6014.8,5947.1,,
Apr 04 2008,5947.1,5891.3,5948.0,5888.0,,
Apr 03 2008,5891.3,5915.9,5935.2,5864.0,,
Apr 02 2008,5915.9,5852.6,5920.1,5827.2,,
Apr 01 2008,5852.6,5702.1,5865.8,5670.4,,
Mar 31 2008,5702.1,5692.9,5715.1,5585.6,,
Mar 28 2008,5692.9,5717.5,5747.2,5673.7,,
Mar 27 2008,5717.5,5660.4,5735.0,5650.9,,
Mar 26 2008,5660.4,5689.1,5689.1,5639.1,,
Mar 25 2008,5689.1,5495.2,5704.3,5495.2,,
Mar 20 2008,5495.2,5545.6,5545.6,5461.9,,
Mar 19 2008,5545.6,5605.8,5653.6,5524.8,,
